fromData,toDate,queryType,key,name,optimisedDate,totalConsumption
2018-09-28T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424917,Aylesbury Station Way,2018-09-28,11199.24
2018-10-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424962,Ayr Castlehill Rd,2018-10-10,30507.98
2018-09-21T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424967,Banbury Swan Close,2018-09-21,66862.49
2018-10-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424928,Bangor Holyhead Rd,2018-10-11,18946.73
2018-10-06T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424979,Barry Heol Ceiniog,2018-10-06,40450.31
2018-09-28T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425403,Bath London Rd,2018-09-28,0.00
2018-08-16T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425393,Becontree Heath,2018-08-16,52995.81
2018-09-30T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424969,Bedlington,2018-09-30,3126.87
2018-09-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424912,Berwick UT North Rd,2018-09-24,88120.75
2018-10-12T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424972,Bideford Kingsley Rd,2018-10-12,9787.65
2018-09-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424939,Blandford Forum West Street,2018-09-11,40154.02
2018-10-14T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424956,Bodmin Priory Rd,2018-10-14,5468.66
2018-09-13T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424926,Bognor Regis Bedford St,2018-09-13,0.00
2018-09-25T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424924,Bracknell The Peel Centre,2018-09-25,32536.85
2018-07-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424949,Bromsgrove Buntsford Ind Pk,2018-07-24,173956.94
2018-10-12T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425397,Bude Stucley Road,2018-10-12,0.00
2018-10-02T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424968,Burntwood High St,2018-10-02,45557.36
2018-10-04T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424957,Caernarfon North Rd,2018-10-04,28895.14
2018-08-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425097,Camberwell Green,2018-08-10,43101.06
2018-08-01T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424963,Canterbury Ten Perch Rd,2018-08-01,59050.25
2018-10-05T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424951,Cardiff Bay,2018-10-05,34152.40
2018-09-19T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424936,Castle Bromwich Hurst Lane,2018-09-19,83719.79
2018-08-30T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425391,Caterham Church Walk,2018-08-30,46702.20
2018-09-07T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424973,Chapel en le Frith Market St,2018-09-07,75053.31
2018-08-17T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,424921,Chatham Princes Avenue,2018-08-17,62986.32
